season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta
2014-15,41400162,LAC,SAS,0,0.0,0,2.0,2.0,0.0,-0.3000000000000007,0.09999999999999998,0.3294261294261247,0.2021276595744681
2014-15,41400152,HOU,DAL,1,0.0,0,2.0,2.0,0.0,6.5,0.19999999999999996,0.6483516483516354,0.21739130434782616
2014-15,41400112,CLE,BOS,1,0.0,0,1.0,1.0,0.0,-5.800000000000001,-0.10000000000000009,4.084249084249095,0.29929078014184396
2014-15,41400132,TOR,WAS,0,0.0,0,2.0,2.0,0.0,0.2999999999999998,0.0,2.5714285714285836,0.2391304347826087
2014-15,41400142,GSW,NOP,1,0.0,0,1.0,1.0,0.0,3.5,0.20000000000000007,8.82063492063493,0.5333333333333334
2014-15,41400122,CHI,MIL,1,0.0,0,1.0,1.0,0.0,7.7,0.19999999999999996,2.9998778998779017,0.22479185938945417
2014-15,41400161,LAC,SAS,1,0.0,0,4.0,3.0,1.0,-2.5999999999999996,0.0,-0.0027465667915151926,0.1845410628019324
2014-15,41400171,MEM,POR,1,0.0,0,3.0,3.0,0.0,-1.5999999999999999,0.09999999999999998,-1.4383270911360881,0.28888888888888886
2014-15,41400111,CLE,BOS,1,0.0,0,3.0,3.0,0.0,-4.9,-0.10000000000000009,3.83970037453183,0.28359683794466406
2014-15,41400101,ATL,BKN,1,0.0,0,3.0,3.0,0.0,6.8,-0.09999999999999998,7.588993871297248,0.3757928118393235
2014-15,41400121,CHI,MIL,1,0.0,0,2.0,2.0,0.0,7.9,0.19999999999999996,2.7650436953807684,0.20772946859903385
2014-15,41400151,HOU,DAL,1,0.0,0,2.0,2.0,0.0,7.1000000000000005,0.19999999999999996,0.4333333333333229,0.19999999999999996
2014-15,41400141,GSW,NOP,1,0.0,0,2.0,2.0,0.0,1.2000000000000002,0.10000000000000009,8.76204744069912,0.5227272727272727
2014-15,41400131,TOR,WAS,0,0.0,0,2.0,2.0,0.0,2.5,0.09999999999999998,2.75555555555556,0.26666666666666666
2014-15,21401219,HOU,UTA,1,0.0,0,1.0,1.0,0.0,-2.8,0.0,1.842696629213492,0.3055555555555556
2014-15,21401218,DAL,POR,1,0.0,0,1.0,1.0,0.0,-8.2,0.0,-1.917773237997963,0.15909090909090906
2014-15,21401224,BKN,ORL,1,0.0,0,1.0,1.0,0.0,2.7,0.3,2.514658401136515,0.15909090909090912
2014-15,21401220,MEM,IND,1,0.0,1,1.0,0.0,1.0,-8.2,-0.29999999999999993,2.5919305413687397,0.38636363636363635
2014-15,21401229,GSW,DEN,1,0.0,0,1.0,1.0,0.0,10.2,0.5,13.797752808988776,0.692618806875632
2014-15,21401217,CHI,ATL,1,0.0,0,1.0,1.0,0.0,2.1999999999999993,0.09999999999999998,-2.4190500510725172,0.03080808080808084
2014-15,21401225,CLE,WAS,1,0.0,1,1.0,0.0,1.0,0.6999999999999997,0.09999999999999998,3.9951481103166486,0.3237373737373737
2014-15,21401223,NOP,SAS,1,0.0,0,1.0,2.0,-1.0,-11.6,-0.30000000000000004,-3.9886363636363598,0.15909090909090906
2014-15,21401228,TOR,CHA,1,1.0,0,0.0,1.0,-1.0,11.7,0.3,6.404494382022477,0.3409090909090909
2014-15,21401227,PHI,MIA,0,0.0,0,1.0,1.0,0.0,-0.7999999999999998,-0.19999999999999998,-6.213483146067404,-0.11038961038961037
2014-15,21401221,MIL,BOS,0,0.0,1,1.0,0.0,1.0,-4.8,-0.20000000000000007,-0.4808478038815167,0.09302325581395349
2014-15,21401226,NYK,DET,0,0.0,0,1.0,1.0,0.0,-9.2,-0.10000000000000003,-7.7840909090909065,-0.08509513742071878
2014-15,21401230,LAL,SAC,0,0.0,0,1.0,1.0,0.0,-5.9,0.0,-3.364530132788559,0.0625
2014-15,21401222,MIN,OKC,0,0.0,0,1.0,1.0,0.0,-7.800000000000001,-0.3,-8.28409090909092,-0.11627906976744184
2014-15,21401215,IND,WAS,1,0.0,0,1.0,1.0,0.0,6.0,0.09999999999999998,-0.3491379310344911,0.11627906976744184
2014-15,21401214,BOS,TOR,1,0.0,0,1.0,2.0,-1.0,3.1000000000000005,0.09999999999999998,-2.6363636363636402,-0.05707070707070716
2014-15,21401216,PHX,LAC,0,0.0,1,1.0,0.0,1.0,-23.8,-0.8,-5.259320735444334,0.0
2014-15,21401210,UTA,DAL,1,0.0,1,1.0,0.0,1.0,6.1,0.09999999999999998,-1.9204545454545467,-0.056553911205074026
2014-15,21401203,CLE,DET,1,1.0,1,0.0,0.0,0.0,0.7,0.19999999999999996,5.172413793103445,0.4011627906976744
2014-15,21401209,OKC,POR,1,1.0,0,0.0,1.0,-1.0,-12.899999999999999,-0.3,-4.1264367816092005,0.17071881606765327
2014-15,21401211,SAC,LAL,1,1.0,1,0.0,0.0,0.0,5.9,0.0,3.1737199582027245,0.21686046511627907
2014-15,21401213,LAC,DEN,1,0.0,1,1.0,0.0,1.0,14.4,0.5,8.704545454545453,0.4222222222222222
2014-15,21401207,MIA,ORL,1,0.0,0,1.0,1.0,0.0,-4.1,-0.10000000000000003,2.4659090909090935,0.13094034378159752
2014-15,21401212,GSW,MEM,1,0.0,0,1.0,1.0,0.0,6.6,0.30000000000000004,7.295454545454547,0.4069264069264069
2014-15,21401205,ATL,NYK,0,1.0,0,0.0,1.0,-1.0,20.6,0.49999999999999994,14.149425287356323,0.6786469344608879
2014-15,21401204,PHI,MIL,0,0.0,1,1.0,0.0,1.0,-8.2,-0.5,-8.80786311389761,-0.10623678646934459
2014-15,21401202,CHA,HOU,0,1.0,1,0.0,0.0,0.0,-10.5,-0.39999999999999997,-6.0909090909090935,-0.13636363636363635
2014-15,21401208,MIN,NOP,0,0.0,1,1.0,0.0,1.0,-15.5,-0.6,-8.632183908045974,-0.1566998892580288
2014-15,21401206,BKN,CHI,0,1.0,0,0.0,1.0,-1.0,-3.5999999999999996,0.09999999999999998,-4.916226215644826,-0.046511627906976716
2014-15,21401194,BOS,CLE,1,0.0,0,1.0,1.0,0.0,-4.9,-0.10000000000000009,-4.758487035551994,-0.04761904761904767
