gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0012100013,1610612745,Houston,Rockets,HOU,rockets,240:00,612.7,122.5,572.1,114.4,40.6,8.1,0.545,1.6,17.1,0.264,0.692,0.476,14.706,14.7,0.599,0.611,1.0,0.991,20.6,103.0,85.83,102.0,0.531
0012100013,1610612764,Washington,Wizards,WAS,wizards,240:00,572.1,114.4,612.7,122.5,-40.6,-8.1,0.487,1.73,13.8,0.308,0.736,0.524,10.577,10.6,0.511,0.568,1.0,0.975,20.6,103.0,85.83,104.0,0.469
0021700977,1610612765,Detroit,Pistons,DET,pistons,240:00,521.1,104.2,441.5,88.3,79.6,15.9,0.579,1.38,17.1,0.267,0.689,0.509,16.842,16.8,0.525,0.557,1.0,0.972,18.9,94.5,78.75,95.0,0.65
0021700977,1610612741,Chicago,Bulls,CHI,bulls,240:00,441.5,88.3,521.1,104.2,-79.6,-15.9,0.576,1.36,14.4,0.311,0.733,0.491,14.894,14.9,0.403,0.426,1.0,0.973,18.9,94.5,78.75,94.0,0.35
0022101018,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,578.4,115.7,612.7,122.5,-34.3,-6.9,0.61,2.27,17.1,0.333,0.564,0.446,10.784,10.8,0.49,0.54,1.0,0.992,20.4,102.0,85.0,102.0,0.442
0022101018,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,612.7,122.5,578.4,115.7,34.3,6.9,0.625,2.31,19.4,0.436,0.667,0.554,12.745,12.7,0.525,0.564,1.0,0.992,20.4,102.0,85.0,102.0,0.558
0022100719,1610612745,Houston,Rockets,HOU,rockets,240:00,500.0,100.0,638.1,127.6,-138.1,-27.6,0.538,1.24,14.6,0.333,0.674,0.476,16.346,16.3,0.458,0.491,1.0,0.984,20.9,104.5,87.08,104.0,0.344
0022100719,1610612759,San Antonio,Spurs,SAS,spurs,240:00,638.1,127.6,500.0,100.0,138.1,27.6,0.655,2.92,24.4,0.326,0.667,0.524,12.381,12.4,0.634,0.646,1.0,0.983,20.9,104.5,87.08,105.0,0.656
0022200463,1610612752,New York,Knicks,NYK,knicks,240:00,673.5,134.7,489.6,97.9,183.9,36.8,0.6,2.25,18.9,0.409,0.872,0.627,12.245,12.2,0.615,0.653,1.0,0.957,19.4,97.0,80.83,98.0,0.666
0022200463,1610612744,Golden State,Warriors,GSW,warriors,240:00,489.6,97.9,673.5,134.7,-183.9,-36.8,0.657,1.15,18.5,0.128,0.591,0.373,20.833,20.8,0.554,0.59,1.0,0.98,19.4,97.0,80.83,96.0,0.334
