season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta,season_start_year,split,Game_Type
2014-15,41400174,POR,MEM,1,0.0,0,1.0,1.0,0.0,-12.6,-0.4999999999999999,0.633590462833098,0.2120772946859903,2014,train,playoff
2014-15,41400104,BKN,ATL,1,0.0,0,1.0,1.0,0.0,-10.0,-0.1999999999999999,-7.428093645484935,-0.0869565217391304,2014,train,playoff
2014-15,41400125,CHI,MIL,0,0.0,0,1.0,1.0,0.0,7.2,0.2999999999999999,3.203614733470588,0.2411347517730496,2014,train,playoff
2014-15,41400134,WAS,TOR,1,0.0,0,1.0,1.0,0.0,4.5,0.2999999999999999,-2.1290322580645125,0.1521739130434782,2014,train,playoff
2014-15,41400154,DAL,HOU,1,0.0,0,1.0,1.0,0.0,-9.1,-0.4,-0.9354838709677438,0.0,2014,train,playoff
2014-15,41400114,BOS,CLE,0,0.0,0,2.0,2.0,0.0,-0.6000000000000001,-0.2,-4.3412809724170245,-0.034816247582205,2014,train,playoff
2014-15,41400164,SAS,LAC,0,0.0,0,1.0,1.0,0.0,4.8,0.0,0.3467741935483843,0.2,2014,train,playoff
2014-15,41400103,BKN,ATL,1,0.0,0,2.0,2.0,0.0,-10.1,-0.1999999999999999,-7.686813186813197,-0.1111111111111111,2014,train,playoff
2014-15,41400124,MIL,CHI,1,0.0,0,1.0,1.0,0.0,-7.3,-0.4,-3.2813230481533537,-0.0222222222222222,2014,train,playoff
2014-15,41400173,POR,MEM,0,0.0,0,2.0,2.0,0.0,-9.8,-0.3999999999999999,0.7720974677496457,0.2393939393939393,2014,train,playoff
2014-15,41400144,NOP,GSW,0,0.0,0,1.0,1.0,0.0,-8.5,-0.4,-8.933964469378225,-0.0069380203515263,2014,train,playoff
2014-15,41400163,SAS,LAC,1,0.0,0,1.0,1.0,0.0,1.0,0.0,-0.2390109890109926,0.1818181818181817,2014,train,playoff
2014-15,41400133,WAS,TOR,1,0.0,0,2.0,2.0,0.0,3.0,0.1999999999999999,-2.304347826086953,0.1333333333333333,2014,train,playoff
2014-15,41400153,DAL,HOU,0,0.0,0,2.0,2.0,0.0,-8.7,-0.3,-0.9021739130434838,0.0222222222222222,2014,train,playoff
2014-15,41400143,NOP,GSW,0,0.0,0,2.0,2.0,0.0,-7.2,-0.3,-8.943502150023875,0.014975845410628,2014,train,playoff
2014-15,41400123,MIL,CHI,0,0.0,0,2.0,2.0,0.0,-5.1,-0.1999999999999999,-3.1639990444338224,0.0,2014,train,playoff
2014-15,41400113,BOS,CLE,0,0.0,0,1.0,1.0,0.0,2.2,-0.1,-4.214166268514106,-0.0131445904954499,2014,train,playoff
2014-15,41400172,MEM,POR,1,0.0,0,2.0,2.0,0.0,5.8,0.3,-1.1125763125763228,0.3043478260869566,2014,train,playoff
2014-15,41400102,ATL,BKN,1,0.0,0,2.0,2.0,0.0,10.2,0.0999999999999999,7.660799001248449,0.3898989898989899,2014,train,playoff
2014-15,41400162,LAC,SAS,0,0.0,0,2.0,2.0,0.0,-0.3000000000000007,0.0999999999999999,0.3294261294261247,0.2021276595744681,2014,train,playoff
2014-15,41400152,HOU,DAL,1,0.0,0,2.0,2.0,0.0,6.5,0.1999999999999999,0.6483516483516354,0.2173913043478261,2014,train,playoff
2014-15,41400112,CLE,BOS,1,0.0,0,1.0,1.0,0.0,-5.800000000000001,-0.1,4.084249084249095,0.2992907801418439,2014,train,playoff
2014-15,41400132,TOR,WAS,0,0.0,0,2.0,2.0,0.0,0.2999999999999998,0.0,2.571428571428584,0.2391304347826087,2014,train,playoff
2014-15,41400142,GSW,NOP,1,0.0,0,1.0,1.0,0.0,3.5,0.2,8.82063492063493,0.5333333333333334,2014,train,playoff
2014-15,41400122,CHI,MIL,1,0.0,0,1.0,1.0,0.0,7.7,0.1999999999999999,2.9998778998779017,0.2247918593894541,2014,train,playoff
2014-15,41400161,LAC,SAS,1,0.0,0,4.0,3.0,1.0,-2.6,0.0,-0.0027465667915151,0.1845410628019324,2014,train,playoff
2014-15,41400171,MEM,POR,1,0.0,0,3.0,3.0,0.0,-1.6,0.0999999999999999,-1.438327091136088,0.2888888888888888,2014,train,playoff
2014-15,41400111,CLE,BOS,1,0.0,0,3.0,3.0,0.0,-4.9,-0.1,3.83970037453183,0.283596837944664,2014,train,playoff
