GROUP_SET,DESCRIPTION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,Season
INDIVIDUAL,S. Curry,2699.975,805,1598,0.504,402,886,0.454,363,400,0.908,68,362,430,527,262,169,15,52,161,356,2375,511.0,2015-16
INDIVIDUAL,R. Westbrook,2749.4683333333332,656,1444,0.454,101,341,0.296,465,573,0.812,145,481,626,834,342,163,20,84,200,434,1878,317.0,2015-16
OVERALL,R. Westbrook's AND S. Curry's combined stats,5440.303333333333,1499,3384,0.443,524,1372,0.382,1035,1202,0.861,198,1019,1217,1364,677,274,48,146,373,818,4557,632.0,2016-17
VS OVERALL,J. Harden's AND G. Antetokounmpo's combined stats,5791.756666666667,1330,2792,0.476,311,936,0.332,1217,1493,0.815,237,1122,1359,1341,698,252,189,156,461,974,4188,235.0,2016-17
INDIVIDUAL,R. Westbrook,2801.7483333333334,824,1941,0.425,200,583,0.343,710,840,0.845,137,727,864,840,438,132,31,91,190,541,2558,124.5,2016-17
INDIVIDUAL,S. Curry,2638.555,675,1443,0.468,324,789,0.411,325,362,0.898,61,292,353,524,239,142,17,55,183,277,1999,507.5,2016-17
VS INDIVIDUAL,J. Harden,2946.72,674,1533,0.44,262,756,0.347,746,881,0.847,95,564,659,907,464,121,38,86,215,500,2356,212.0,2016-17
VS INDIVIDUAL,G. Antetokounmpo,2845.036666666667,656,1259,0.521,49,180,0.272,471,612,0.77,142,558,700,434,234,131,151,70,246,474,1832,23.0,2016-17
OVERALL,R. Westbrook's AND S. Curry's combined stats,4544.453333333333,1185,2551,0.465,309,827,0.374,695,868,0.801,188,877,1065,1130,534,227,28,105,314,667,3374,435.0,2017-18
VS OVERALL,J. Harden's AND G. Antetokounmpo's combined stats,5306.988333333334,1393,2851,0.489,308,862,0.357,1111,1368,0.812,197,945,1142,991,538,235,156,183,400,1016,4205,335.0,2017-18
INDIVIDUAL,R. Westbrook,2913.6566666666668,757,1687,0.449,97,326,0.298,417,566,0.737,152,652,804,820,381,147,20,84,200,460,2028,192.0,2017-18
INDIVIDUAL,S. Curry,1630.7966666666666,428,864,0.495,212,501,0.423,278,302,0.921,36,225,261,310,153,80,8,21,114,207,1346,243.0,2017-18
VS INDIVIDUAL,G. Antetokounmpo,2756.2033333333334,742,1402,0.529,43,140,0.307,487,641,0.76,156,597,753,361,223,109,106,85,231,511,2014,74.0,2017-18
VS INDIVIDUAL,J. Harden,2550.785,651,1449,0.449,265,722,0.367,624,727,0.858,41,348,389,630,315,126,50,98,169,505,2191,261.0,2017-18
VS OVERALL,J. Harden's AND G. Antetokounmpo's combined stats,5224.946666666667,1564,3156,0.496,430,1231,0.349,1254,1544,0.812,225,1191,1416,1010,655,250,168,212,476,1118,4812,504.5,2018-19
