home_abbr,away_abbr,avg_HCA,avg_pred_prob_home_win,total_home_win,total_predicted_win,total_games,total_predicted_lose,pred_label
BOS,CHI,0.07296557566528958,0.7674433790168456,1,2,2,0,1
BOS,CLE,0.058926666802964406,0.49016657092299554,1,1,2,1,0
BOS,DAL,0.03923188500000162,0.7081211188187275,0,1,1,0,1
BOS,DEN,0.03923188500000162,0.593995890637725,1,1,1,0,1
BOS,DET,0.22716629900889718,0.8518097232745789,2,2,2,0,1
BOS,GSW,0.03923188500000162,0.35673886902117535,0,0,1,1,0
BOS,HOU,0.03923188500000162,0.5409579665605706,0,1,1,0,1
BOS,IND,0.16808195360000883,0.7658754370618852,1,2,2,0,1
BOS,LAC,0.19903303734792843,0.6192250894570768,1,1,1,0,1
BOS,LAL,0.03923188500000162,0.6792159362105465,1,1,1,0,1
BOS,MEM,-0.05866709985208596,0.6111983363662362,0,1,1,0,1
BOS,MIA,0.11913246117396503,0.7104232507748021,1,2,2,0,1
BOS,MIL,0.16808195360000883,0.8405214487288283,2,2,2,0,1
BOS,MIN,0.05054363088127683,0.7551521855165128,1,1,1,0,1
BOS,NOP,0.03923188500000162,0.8504971452420089,1,1,1,0,1
BOS,NYK,0.09882135360939245,0.7465139891885179,3,5,5,0,1
BOS,OKC,0.03923188500000162,0.44379723407347393,0,0,1,1,0
BOS,ORL,0.0856409030370898,0.7587001283311576,4,4,4,0,1
BOS,PHI,-0.00971760742604217,0.8049778247925736,1,2,2,0,1
BOS,PHX,0.05054363088127683,0.7805543544685102,1,1,1,0,1
BOS,POR,0.06730970272465199,0.7316786026978712,1,1,1,0,1
BOS,SAC,0.08993319448720241,0.7483767377045648,0,1,1,0,1
BOS,SAS,0.03923188500000162,0.7136528609688945,1,1,1,0,1
BOS,TOR,0.182120862462334,0.8418360213956572,2,2,2,0,1
BOS,UTA,0.296932022200016,0.8624792898855722,1,1,1,0,1
BOS,WAS,0.05054363088127683,0.9052386582474203,1,1,1,0,1
CHA,ATL,0.11913246117396503,0.44418571543018004,0,1,2,1,0
CHA,BKN,-0.00971760742604217,0.5201052516108187,1,1,2,1,1
CHA,BOS,0.11913246117396503,0.2095750154084386,0,0,2,2,0
CHA,CHI,0.03923188500000162,0.3447037682904671,0,0,2,2,0
CHA,CLE,0.03923188500000162,0.1466293079949511,0,0,2,2,0
CHA,DAL,0.0786214486059272,0.35672846694514754,1,0,1,1,0
CHA,DEN,0.19903303734792843,0.367924921471174,0,0,1,1,0
CHA,DET,0.04488775794063922,0.4616539163463774,2,0,2,2,0
CHA,GSW,0.03923188500000162,0.14340948446636798,0,0,1,1,0
CHA,HOU,0.32500983992466637,0.2669209956302889,0,0,1,1,0
CHA,IND,0.03923188500000162,0.42442196317108266,1,0,1,1,0
CHA,LAC,0.03923188500000162,0.22657520163040967,0,0,1,1,0
CHA,LAL,0.03923188500000162,0.4514957440450144,0,0,1,1,0
CHA,MEM,0.05054363088127683,0.27490188303317453,0,0,1,1,0
CHA,MIA,0.12478833411460262,0.4384340614736373,0,0,2,2,0
CHA,MIL,0.07296557566528958,0.441395555075013,1,1,2,1,0
CHA,MIN,0.296932022200016,0.3259823444001918,0,0,1,1,0
CHA,NOP,0.19903303734792843,0.562908135248376,1,1,1,0,1
CHA,NYK,0.16808195360000883,0.3610520788732769,1,0,2,2,0
CHA,OKC,0.03923188500000162,0.1398605200386462,0,0,1,1,0
CHA,ORL,0.16808195360000883,0.3951782490226694,0,0,2,2,0
CHA,PHI,0.0786214486059272,0.5099496049175666,0,1,2,1,1
CHA,PHX,0.296932022200016,0.45903633892583157,1,0,1,1,0
CHA,POR,0.296932022200016,0.5514983700561681,0,1,1,0,1
CHA,SAC,0.03923188500000162,0.3279952475614126,0,0,1,1,0
CHA,SAS,0.03923188500000162,0.4053727724784012,1,0,1,1,0
CHA,TOR,0.09538752044930235,0.5198415959520537,1,1,1,0,1
CHA,UTA,-0.04735535397081078,0.4895043274569643,1,0,1,1,0
CHA,WAS,0.04488775794063922,0.6429175837044954,0,2,2,0,1
CHI,ATL,0.11913246117396503,0.5046491804491755,1,1,2,1,1
CHI,BKN,0.19615977132465917,0.600323538747287,2,2,2,0,1
CHI,BOS,0.05054363088127682,0.21824098899930452,0,0,2,2,0
CHI,CHA,0.09831623040888998,0.6114903993785812,1,2,2,0,1
CHI,CLE,0.03923188500000162,0.19447846277302844,0,0,2,2,0
CHI,DAL,0.03923188500000162,0.5364341352489839,0,1,1,0,1
CHI,DEN,0.03923188500000162,0.3155123031692622,1,0,1,1,0
CHI,DET,0.1331713700362902,0.48023994341401116,0,0,2,2,0
CHI,GSW,0.06730970272465199,0.33592345869027374,0,0,1,1,0
CHI,HOU,0.03923188500000162,0.2368305264830017,0,0,1,1,0
CHI,IND,-0.00971760742604217,0.46614511889837185,1,1,2,1,0
CHI,LAC,0.03923188500000162,0.30568119201985,0,0,1,1,0
CHI,LAL,0.32500983992466637,0.6204410395841371,1,1,1,0,1
